slank,formal
pilihannny,pilihannya
pndah,pindah
piiink,pink
pinkkkk,pink
pinter,pintar
pintr,pintar
pipi'y,pipinya
pipinyaaa,pipinya
pipine,pipinya
pelastik,plastik
poko,pokok
pokok'a,pokoknya
pkoknya,pokoknya
pokonya,pokoknya
pkoknyaa,pokoknya
poollll,pol
poooolllll,pol
pollll,pol
polll,pol
poool,pol
ponakn,ponakan
positippp,positif
frestasiii,prestasi
prinadi,pribadi
prodak,produk
prodac,produk
prodaknya,produknya
promil,program hamil
promoo,promo
protestin,protestan
pukulin,pukuli
pulak,pula
pla,pula
pulaa,pula
plg,pulang
plsa,pulsa
punn,pun
punyaaa,punya
pny,punya
py,punya
pnya,punya
px,punya
pu,punya
pnyaa,punya
pura2,pura-pura
pusingggg,pusing
pucing,pusing
putihh,putih
putihnyaa,putihnya
rajin2,rajin-rajin
rmbut,rambut
rmbt,rambut
rmbuut,rambut
rmbutnya,rambutnya
rame2,rame-rame
rana,ranah
rapih,rapi
rasaiin,rasai
rasakn,rasakan
rata2,rata-rata
rek,rekening
rek,rekening
rekomndd,rekomendasi
recommendasi,rekomendasi
rekomendain,rekomendasikan
recomendasinya,rekomendasinya
relaaaa,rela
remang2,remang-remang
rempong,repot
repong,repot
repot2,repot-repot
rpt2,repot-repot
rezki,rezeki
rezeqinya,rezekinya
tebir,ribet
"tebir""",ribet-ribet
rb,ribu
redho,ridho
rinduuuuuuuuu,rindu
rinduuuuuuuuuu,rindu
rinduuuuuuu,rindu
romntis,romantis
romantiz,romantis
romantiss,romantis
romantisny,romatisnya
rmh,rumah
rumh,rumah
rumpiin,rumpi
rupa2nya,rupa-rupanya
rusakkk,rusak
saat2,saat-saat
sbr,sabar
sabarrrrr,sabar
sabarrr,sabar
sabal,sabar
sabaro,sabar
sabaarrr,sabar
sadis2,sadis-sadis
shbt,sahabat
sahabatt,sahabat
shabat,sahabat
sbhabat,sahabat
shbat,sahabat
aja,saja
aj,saja
aza,saja
ajhh,saja
sja,saja
za,saja
ajha,saja
ae,saja
ajaaa,saja
ajh,saja
ajaa,saja
ajah,saja
ajja,saja
ja,saja
sj,saja
ajaaahhhhh,saja
aje,saja
ajahhh,saja
z,saja
ajjh,saja
ajj,saja
aee,saja
j,saja
jh,saja
samara,sakinah mawadah rahman
skt,sakit
skit,sakit
slh,salah
slah,salah
salfok,salah fokus
saltummmm,salah kostum
slahkan,salahkan
salahin,salahkan
slhkan,salahkan
slm,salam
salaam,salam
salammmm,salam
slam,salam
slmnya,salamnya
sholihah,salihah
salehah,salihah
sling,saling
salluutt,salut
sma,sama
ma,sama
ama,sama
sm,sama
sam,sama
m,sama
samaa,sama
samaaaa,sama
aama,sama
am,sama
sama2,sama-sama
"sama""",sama-sama
sm2,sama-sama
sma2,sama-sama
mbil,sambil
smbil,sambil
sampis,sampah habis
sampe,sampai
smpe,sampai
nyampe,sampai
sampek,sampai
ampe,sampai
sampw,sampai
smp,sampai
smpai,sampai
sampein,sampaikan
nyampenya,sampainya
sampai2,sampai-sampai
sna,sana
sanggat,sangat
sgt,sangat
sangt,sangat
sangattt,sangat
sngt,sangat
sangaaattt,sangat
very,sangat
sangat2,sangat-sangat
santab,santap
capa,sapa
sp,sapa
sapa2,sapa-sapa
satuuuuu,satu
atu,satu
stu,satu
atuu,satu
satuu,satu
satupunn,satupun
saudra,saudara
shayyy,say
shay,say
shaaaay,say
sayyy,say
shayy,say
shaay,say
saayyyyy,say
sayaa,saya
sy,saya
sya,saya
yank,sayang
syg,sayang
ynk,sayang
say,sayang
ygs,sayang
sayy,sayang
sayaang,sayang
sayanggg,sayang
yayang,sayang
ayank,sayang
yankkk,sayang
syang,sayang
syng,sayang
synk,sayang
sygkuu,sayangku
sayangkuuuuu,sayangku
sayangkuh,sayangku
sayangggq,sayangku
syngnya,sayangnya
sayangx,sayangnya
sayangg'',sayang-sayang
saya2,saya-saya
seandainy,seandainya
sbb,sebab
sbg,sebagai
sbgai,sebagai
sbagai,sebagai
"sebaik""",sebaik-baik
sbaiknya,sebaiknya
sbnyak,sebanyak
sbbyak,sebanyak
sebnyak,sebanyak
segtu,sebegitu
sgtu,sebegitu
segitunya,sebegitunya
sgtu'y,sebegitunya
sbelah,sebelah
sblah,sebelah
sblh,sebelah
sblm,sebelum
sbelum,sebelum
sblum,sebelum
sebelumbya,sebelumnya
sblmnya,sebelumnya
sblmny,sebelumnya
sebelum2nya,sebelum-sebelumnya
sbnarnya,sebenarnya
sbnrny,sebenarnya
sebenernya,sebenarnya
sbbrnya,sebenarnya
sbenernya,sebenarnya
sbuah,sebuah
"seburuk""",seburuk-buruk
seburuk2,seburuk-buruk
scra,secara
scr,secara
scpatny,secepatnya
sdg,sedang
sedangkn,sedangkan
sdgkn,sedangkan
syediiihhh,sedih
sedihh,sedih
sedihhh,sedih
syediih,sedih
sdkit,sedikit
sdkt,sedikit
sedikitlaahh,sedikitlah
sdkit2,sedikit-sedikit
sgla,segala
segala2nya,segala-galanya
"segala""ny",segala-galanya
sgampang,segampang
sweger,segar
segerrrr,segar
seger,segar
segerr,segar
sharusnya,seharusnya
seharusny,seharusnya
shat,sehat
dehat,sehat
sihat,sehat
sehat2,sehat-sehat
seindonesiyah,seindonesia
sjk,sejak
skedar,sekadar
sekalii,sekali
skli,sekali
skali,sekali
syekaliii,sekali
skalii,sekali
sekaliiiii,sekali
sekaliiii,sekali
seklian,sekalian
skaligus,sekaligus
sekali2,sekali-kali
skali2,sekali-kali
sklinyaa,sekalinya
sekangen2,sekangen-kangen
skarang,sekarang
skrg,sekarang
skrang,sekarang
skrng,sekarang
ckrng,sekarang
sekarng,sekarang
sekrng,sekarang
skg,sekarang
sekrang,sekarang
skr,sekarang
sekaeang,sekarang
sktlrang,sekarang
skrnh,sekarang
skrngnya,sekarangnya
skluarga,sekeluarga
sktika,seketika
skitar,sekitar
sklh,sekolah
skolah,sekolah
sekolahin,sekolahkan
sexxi,seksi
seksii,seksi
sexi,seksi
sexi2,seksi-seksi
slalu,selalu
chelalyyu,selalu
sll,selalu
selaluu,selalu
sllu,selalu
s'lalu,selalu
slaluuuuu,selalu
selaloe,selalu
slama,selama
selmnya,selamanya
met,selamat
slmt,selamat
slamt,selamat
slamat,selamat
slamet,selamat
selmt,selamat
slmat,selamat
selmat,selamat
slmttt,selamat
selfi,selfie
woles,selow
sellow,selow
slw,selow
seluru,seluruh
smakin,semakin
smkin,semakin
semangaatt,semangat
smangat,semangat
senangat,semangat
semangaatttt,semangat
semangattt,semangat
semangatt,semangat
semngat,semangat
smngat,semangat
smrg,semarang
"sembunyi""""",sembunyi-sembunyi
smnjak,semenjak
swmntara,sementara
smentara,sementara
smster,semester
smga,semoga
smg,semoga
smoga,semoga
samoga,semoga
smog,semoga
smgaa,semoga
semogaa,semoga
dempga,semoga
smogaaa,semoga
moga,semoga
smvk,sempak
sempet,sempat
smpt,sempat
sempurnaaaaa,sempurna
sempurnaa,sempurna
smua,semua
smw,semua
seeeemua,semua
semuaaa,semua
smuaaa,semua
semuanyaaaa,semuanya
semuanyaa,semuanya
semuannyaaa,semuanya
smulla,semula
seneeeeeng,senang
sendeng,senang
senengg,senang
seneng,senang
senenggg,senang
sneng,senang
senengin,senangi
senang2,senang-senang
sndiri,sendiri
sndri,sendiri
sdri,sendiri
sendirir,sendiri
sendirii,sendiri
sndr,sendiri
sendri,sendiri
s3ndiri,sendiri
sendirinnya,sendirinya
sendirinyya,sendirinya
sngaja,sengaja
senyumin,senyumi
senyumna,senyumnya
seorg,seorang
sperti,seperti
spt,seperti
sprt,seperti
sprti,seperti
spti,seperti
srpti,seperti
spertinya,sepertinya
serem,seram
serem2,seram-seram
"serem""",seram-seram
serasiii,serasi
srng,sering
sering2,sering-sering
ciusss,serius
ciyusss,serius
srta,serta
seruuu,seru
srruu,seru
seruu,seru
seru2,seru-seru
seru2an,seru-seruan
servernya,server
sesekk,sesak
sasama,sesama
sesatt,sesat
ssorg,seseorang
sstu,sesuatu
stelah,setelah
stlh,setelah
setelur2nya,setelur-telurnya
stiap,setiap
stp,setiap
stidaknya,setidaknya
stimpal,setimpal
seterong,setrong
setju,setuju
setujuuu,setuju
stju,setuju
stuju,setuju
setujuuuu,setuju
s,si
ciapa,siapa
syp,siapa
siapaa,siapa
cpa,siapa
siappa,siapa
sypa,siapa
siapayahh,siapa ya
siapa2,siapa-siapa
sia2kan,sia-siakan
sibukx,sibuknya
sii,sih
seehh,sih
sie,sih
sihhh,sih
sey,sih
sichh,sih
sihh,sih
seeh,sih
siiihh,sih
seh,sih
siih,sih
siiihhh,sih
sehh,sih
sich,sih
see,sih
sichhhhhhhhhh,sih
sihhhh,sih
si,sih
c,sih
siihhh,sih
siihh,sih
siiih,sih
"sikap""",sikap-sikap
silahkan,silakan
silahkn,silakan
silsturahmi,silaturahmi
silauuu,silau
simpen,simpan
save,simpan
sinet,sinetron
sintron,sinetron
s*inetr*n,sinetron
cini,sini
siip,sip
siippp,sip
siipp,sip
sipp,sip
siiiiiiippppppppp,sip
suipit,sipit
sipiit,sipit
cpit,sipit
siriik,sirik
sirikk,sirik
sista2,sista-sista
soalx,soalnya
soal'y,soalnya
so,sok
sokk,sok
sotoy,sok tau
sok2,sok-sok
sok2an,sok-sokan
onoh,sono
ono,sono
setabil,stabil
staf2nya,staf-stafnya
sttus,status
statusx,statusnya
stress,stres
steess,stres
sumai,suami
suamiiiii,suami
suamiii,suami
suaminy,suaminya
suami'y,suaminya
suaminga,suaminya
suarranya,suaranya
suaranyaaaaaa,suaranya
suaraynyaa,suaranya
suaranyaa,suaranya
subahanallah,subhanallah
subhanalloh,subhanallah
subhannallah,subhanallah
subhanaallahh,subhanallah
subhanallahhh,subhanallah
subhnallah,subhanallah
udah,sudah
udh,sudah
sdh,sudah
sudh,sudah
udahh,sudah
uda,sudah
sud,sudah
udehh,sudah
suda,sudah
ud,sudah
sudab,sudah
sdah,sudah
udeh,sudah
udahlah,sudahlah
udah2,sudah-sudah
suerrr,suer
sukaaak,suka
sukaaaa,suka
sukaaaaaa,suka
sk,suka
sukaaa,suka
suk,suka
sukaa,suka
sukakkk,suka
ska,suka
sukak,suka
sukam,suka
suko,suka
syukaaakkk,suka
sukkaa,suka
like,suka
suka.a,sukanya
suka2,suka-suka
suksea,sukses
suksess,sukses
suces,sukses
sucses,sukses
sukse,sukses
sukur2,sukur-sukur
sumpahh,sumpah
sumvahh,sumpah
sumpeh,sumpah
sunah2,sunah-sunah
sunggu,sungguh
sungguh2,sungguh-sungguh
spy,supaya
supeer,super
sby,surabaya
surgaa,surga
suru,suruh
syratnya,syaratnya
"syirik""",syirik-syirik
td,tadi
tdi,tadi
tdnya,tadinya
nahannnn,tahan
tahannn,tahan
than,tahan
taiiii,tahi
taek,tahi
taekk,tahi
tokayyy,tahi
tay,tahi
tai,tahi
taik,tahi
tayik,tahi
th,tahu
thun,tahun
thn,tahun
taun,tahun
taon,tahun
thnan,tahunan
th2,tahun-tahun
"tahun""",tahun-tahun
tahun2,tahun-tahun
tx,tak
tk,tak
takuttt,takut
tkut,takut
atutt,takut
takuuuuut,takut
tmbh,tambah
tmbah,tambah
tambh,tambah
tambahh,tambah
tambahim,tambahkan
tambahin,tambahkan
tamvann,tampan
tampialannya,tampilannya
tanda2nya,tanda-tandanya
tnggl,tanggal
tgl,tanggal
date,tanggal
tanggung2,tanggung-tanggung
tangkep,tangkap
tnpa,tanpa
tnp,tanpa
tantee,tante
tanteny,tantenya
"tante""",tante-tante
tante2,tante-tante
tnya,tanya
tanyain,tanyakan
tanya2,tanya-tanya
tp,tapi
tpi,tapi
pi,tapi
to,tapi
tappi,tapi
tpii,tapi
tap8,tapi
tapo,tapi
tpy,tapi
tapii,tapi
tauu,tau
tauuuuu,tau
tw,tau
tauuu,tau
tauuuu,tau
taw,tau
autuhh,tau tuh
taux,taunya
tau2,tau-tau
tanyang,tayang
tebel,tebal
tegaar,tegar
teguran2,teguran-teguran
tehh,teh
tehhh,teh
tehhhh,teh
tah,teh
telaatt,telat
tlp,telepon
tlvn,telepon
telefisi,televisi
temenn,teman
tmen,teman
temen,teman
tmn,teman
tman,teman
temenkuuh,temanku
temennya,temannya
tmn2,teman-teman
temen-temen,teman-teman
temen2,teman-teman
teman2,teman-teman
"temen""",teman-teman
"teman""ny",teman-temannya
tmn2nya,teman-temannya
tmbm,tembam
tembemmm,tembem
tembokk,tembok
tmpt,tempat
tempt,tempat
t4,tempat
tempat2,tempat-tempat
tenny,tenang
tnang,tenang
tenggah,tengah
tengaj,tengah
tngh,tengah
tengah2,tengah-tengah
tgk,tengok
ttg,tentang
tntg,tentang
tentanh,tentang
tntram,tentram
terangkhn,terangkan
trsa,terasa
trasa,terasa
kebagi,terbagi
terbaikkk,terbaik
terrrrbaik,terbaik
trbaik,terbaik
terbaeq,terbaik
terbaiiikkkkk,terbaik
terbaeeeek,terbaik
trbaikk,terbaik
best,terbaik
kebalas,terbalas
kbawa,terbawa
kebawa,terbawa
kebayang,terbayang
kebongkar,terbongkar
kebukaaa,terbuka
trbukti,terbukti
kebukti,terbukti
terburu2,terburu-buru
trganggu,terganggu
thdp,terhadap
terharuuu,terharu
terhaaru,terharu
terharuuuu,terharu
trrharu,terharu
trhtung,terhitung
trima,terima
makasih,terima kasih
mksh,terima kasih
terimaksih,terima kasih
makasi,terima kasih
maacih,terima kasih
telimakacih,terima kasih
maksih,terima kasih
trims,terima kasih
mksih,terima kasih
mskasih,terima kasih
tks,terimakasih
teringt,teringat
keinget,teringat
trjadi,terjadi
trjd,terjadi
kejawab,terjawab
terjrumus,terjerumus
terkenall,terkenal
trknal,terkenal
trkrim,terkirim
trlalu,terlalu
trll,terlalu
trlihat,terlihat
kemakan,termakan
trmanis,termanis
trmsuk,termasuk
trmasuk,termasuk
termiribkan,termiripkan
termurahhhh,termurah
termurahhh,termurah
termuraaahhhh,termurah
ternodain,ternodai
trnyata,ternyata
ternyataa,ternyata
terong2an,terong-terongan
kpancing,terpancing
kepelesett,terpeleset
kepikir,terpikir
trpsah,terpisah
therchakitty,tersakiti
tsb,tersebut
trserah,terserah
trsrh,terserah
trserh,terserah
ketara,tertara
ketarik,tertarik
ketipu,tertipu
ketuker,tertukar
trus,terus
trs,terus
teruss,terus
teruzzz,terus
teruuss,terus
terossss,terus
teru,terus
trussss,terus
teyuss,terus
teruz,terus
terusss,terus
trusss,terus
truss,terus
trusan.a,terusannya
terus2an,terus-terusan
"terus""an",terus-terusan
trutama,terutama
testi,testimoni
testinya,testimoninya
tetep,tetap
ttep,tetap
tetapppp,tetap
ttp,tetap
ttap,tetap
tetp,tetap
tetaplaah,tetaplah
tteh,teteh
tetehh,teteh
tth,teteh
toketnya,teteknya
tiba2,tiba-tiba
ngga,tidak
gk,tidak
ga,tidak
gak,tidak
ngak,tidak
gag,tidak
g,tidak
engga,tidak
gga,tidak
gakk,tidak
nggak,tidak
ngk,tidak
nggk,tidak
tdk,tidak
gx,tidak
tidakkkk,tidak
engk,tidak
gaa,tidak
gg,tidak
nga,tidak
gkk,tidak
ngg,tidak
ngggk,tidak
tdak,tidak
gakkk,tidak
tak,tidak
gda,tidak ada
gada,tidak ada
gaada,tidak ada
gkkan,tidak akan
gpp,tidak apa-apa
gapap,tidak apa-apa
gakpapa,tidak apa-apa
gabakal,tidak bakal
gbs,tidak bisa
gabisa,tidak bisa
gaharus,tidak harus
gakuat,tidak kuat
gakwad,tidak kuat
gamau,tidak mau
gmau,tidak mau
gnyngka,tidak menyangka
gapake,tidak pakai
gaprgi,tidak pergi
gapernah,tidak pernah
gapunya,tidak punya
gksalah,tidak salah
gasalah,tidak salah
gasih,tidak sih
gksi,tidak sih
gatau,tidak tau
gtw,tidak tau
gtau,tidak tau
gataunya,tidak taunya
gausah,tidak usah
gausa,tidak usah
gakusah,tidak usah
"engga""",tidak-tidak
tdr,tidur
tdur,tidur
tiga2nya,tiga-tiganya
tikung2,tikung-tikung
tingal,tinggal
tinggall,tinggal
tinggl,tinggal
tinggalin,tinggalkan
tinggalkn,tinggalkan
ttinggi,tinggi
tipe2,tipe-tipe
tips2,tips-tips
tipu2nya,tipu-tipunya
tohh,toh
tolernsi,toleransi
toloollll,tolol
tlg,tolong
tlog,tolong
toup,topup
tup,topup
toupup,topup
transakai,transaksi
tranksaksi,transaksi
transanksinya,transaksi
transakasi,transaksi
bertransakai,transaksi
bertransaksilebih,transaksi
tf,transfer
tranfer,transfer
kirim,transfer
transper,transfer
tranper,transfer
transferx,transfer
transfr,transfer
transferrrr,transfer
troma,trauma
tuwek,tua
tuwanya,tuanya
tuany,tuanya
tua2,tua-tua
tbuh,tubuh
tdung,tudung
tuuh,tuh
tuhh,tuh
tuu,tuh
tuch,tuh
tuhhh,tuh
tuuuuh,tuh
yuh,tuh
tuhanny,tuhannya
tukan,tukang
tlsn,tulisan
tullus,tulus
tumpe2,tumpah-tumpah
tnggu,tunggu
tunggu2,tunggu-tunggu
tunjukan,tunjukkan
tunjukin,tunjukkan
trun,turun
tutorialx,tutorialnya
duit,uang
financial,uang
finansial,uang
finasial,uang
ubur2,ubur-ubur
uhh,uh
uhhh,uh
uuhh,uh
uih,uh
uuh,uh
uuhhh,uh
ujg,ujung
ujunggg,ujung
ujung2,ujung-ujung
ulan,ulang
ultha,ultah
ultahe,ultahnya
undangan2,undangan-undangan
download,unduh
downlodnya,unduh
ngedownload,unduh
downdloadnya,unduh
didownload,unduh
dowload,unduh
ngunduh,unduh
downloud,unduh
ungkapin,ungkapkan
ungkit2,ungkit-ungkit
uninstal,uninstall
unistal,uninstall
univ,universitas
tuk,untuk
utk,untuk
untk,untuk
utkmu,untukmu
unyuu,unyu
unyuuk,unyu
unyu2,unyu-unyu
diupdate,update
updet,update
apdet,update
abdet,update
apdate,update
upadete,update
updt,update
updte,update
updete,update
updatenya,update
updtae,update
dibupdate,update
updateaplikasi,update
diupdt,update
diupdet,update
updates,update
uptade,update
updatean,update
updateeeeeeee,update
updated,update
updeat,update
ngupdatenya,update
ngupdate,update
upded,update
upadet,update
mengupdate,update
updat,update
upadate,update
updateeeeeeeeeeee,update
diupgrade,upgrade
upgrad,upgrade
upgrede,upgrade
uprgate,upgrade
upgret,upgrade
upgreat,upgrade
aupgrade,upgrade
urat2nya,urat-uratnya
urusn,urusan
ursan,urusan
urusanny,urusannya
usahh,usah
ush,usah
usa,usah
uztad,ustad
ustzah,ustazah
uwakk,uwak
verivikasi,verifikasi
perifikasi,verifikasi
veripikasi,verifikasi
verikasi,verifikasi
perivikasi,verifikasi
verifiksi,verifikasi
verif,verifikasi
wado,waduh
wadaaw,waduh
wdooohhh,waduh
waduhh,waduh
waduhhh,waduh
waduuuuh,waduh
waoohhh,wah
wahh,wah
waaa,wah
uwahhhhh,wah
waaahhh,wah
wahhhhhh,wah
wahhh,wah
waah,wah
wjh,wajah
wajarrr,wajar
wajiiib,wajib
wkt,waktu
eakyu,waktu
wktu,waktu
wk,waktu
waktunyaaa,waktunya
wktunya,waktunya
oalaaaa,walah
owalaah,walah
wlo,walau
wlau,walau
wlwpun,walaupun
wlaupun,walaupun
wlawpun,walaupun
wanitah,wanita
warnaaa,warna
wrn,warna
warnany,warnanya
warkop,warung kopi
wik,wig
week,wig
wihhhhhh,wih
wiiiihhhh,wih
wihh,wih
wihhh,wih
weeeh,wih
wiih,wih
wiiiihhhhhhhhh,wih
wong2,wong-wong
wota2,wota-wota
woww,wow
waww,wow
woow,wow
wowwww,wow
woowwww,wow
wewww,wow
waw,wow
waaaaw,wow
wooowww,wow
wawwwww,wow
waaaww,wow
waaawwww,wow
wowww,wow
wouww,wow
wowwwww,wow
wooow,wow
wowoooww,wow
woey,woy
woooiiiiiiii,woy
woooiiiii,woy
woyyy,woy
woooyy,woy
yaa,ya
yah,ya
yeee,ya
yha,ya
yaaa,ya
yaaaaaa,ya
yakk,ya
yahhh,ya
yahh,ya
ea,ya
yaaa ,ya
yaaaa,ya
yak,ya
yach,ya
yaakkk,ya
yaahhh,ya
yaah,ya
yaak,ya
yahbh,ya
yachhh,ya
yuppss,ya
yup,ya
yeeee,ya
yaakk,ya
yee,ya
yeuh,ya
yh,ya
yhaaa,ya
yappp,ya
yaaah,ya
yo,ya
yya,ya
yep,ya
yam,ya
yyaaa,ya
yahhhh,ya
yooow,ya
yap,ya
ysh,ya
yaahh,ya
yapp,ya
yawlah,ya allah
yawloh,ya allah
yaolohh,ya allah
yaampuuuunnnn,ya ampun
yaaampunnn,ya ampun
yaudh,ya sudah
yaoloh,yaallah
yakaliiiii,yakali
yakinn,yakin
yg,yang
yng,yang
yanckh,yang
yaaang,yang
yq,yang
yaang,yang
yoiii,yoi
yoooiii,yoi
yoiiu,yoi
yokkk,yuk
yu,yuk
yuuuk,yuk
yuwkkk,yuk
yuuuuk,yuk
yukkkk,yuk
kuyy,yuk
yukk,yuk
yuuk,yuk
kuy,yuk
nyok,yuk
yuuks,yuk
yok,yuk
yuu,yuk
yuuu,yuk
yokk,yuk
yuks,yuk
yukss,yuk
yooookkk,yuk
kuyyy,yuk
yuukk,yuk
ayukk,yuk
yuuuukkk,yuk
yukkk,yuk
yook,yuk
yoookkkk,yuk
zama,zaman
